audio_path,references,speaker,predictions
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0001.wav,shoot,F04,shoot
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0001.wav,shoot,F04,shut
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0001.wav,shoot,F04,shot
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0001.wav,shoot,F04,sut
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0001.wav,shoot,F04,soit
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0002.wav,i looked up and noticed two old men,F04,i looked up and noticed two old men
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0003.wav,slay,F04,flat
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0003.wav,slay,F04,flay
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0003.wav,slay,F04,fly
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0003.wav,slay,F04,lay
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0003.wav,slay,F04,la
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0004.wav,will robin wear a yellow lily,F04,will robin wear a yellow lily
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0004.wav,will robin wear a yellow lily,F04,well robin wear a yellow lily
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0004.wav,will robin wear a yellow lily,F04,will a robin wear a yellow lily
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0004.wav,will robin wear a yellow lily,F04,will i robin wear a yellow lily
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0004.wav,will robin wear a yellow lily,F04,willi robin wear a yellow lily
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0005.wav,i was conscious all the time,F04,i was conscious all the time
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0006.wav,prior,F04,prior
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0006.wav,prior,F04,prier
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0007.wav,play,F04,play
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0008.wav,briar,F04,yar briar
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0008.wav,briar,F04,yer briar
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0008.wav,briar,F04,yar brier
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0008.wav,briar,F04,yer brier
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0008.wav,briar,F04,yar bryer
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0009.wav,he will allow a rare lilyrare lie,F04,he will allow a rare lily rare lie
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0009.wav,he will allow a rare lilyrare lie,F04,he will allow a rare lilly rare lie
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0009.wav,he will allow a rare lilyrare lie,F04,he will allow a rare lily a rare lie
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0009.wav,he will allow a rare lilyrare lie,F04,he will allow a rare lily rare lye
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0009.wav,he will allow a rare lilyrare lie,F04,he will allow a rare lilly a rare lie
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0010.wav,shear,F04,sheer
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0010.wav,shear,F04,shear
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0010.wav,shear,F04,sher
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0010.wav,shear,F04,shere
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0011.wav,suit,F04,suit
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0011.wav,suit,F04,sut
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0011.wav,suit,F04,suite
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0011.wav,suit,F04,soit
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0011.wav,suit,F04,cut
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0013.wav,all the big baseball players get traded,F04,all the big baseball players get traded
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0013.wav,all the big baseball players get traded,F04,all the big base ball players get traded
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0013.wav,all the big baseball players get traded,F04,all the big baseball players get trated
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0013.wav,all the big baseball players get traded,F04,all the big baseball player's get traded
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0013.wav,all the big baseball players get traded,F04,all the big base ball players get trated
/home/rao/projects/torgo_inference_on_cluster/torgo_dataset/torgo//F04/Session2/wav_headMic/0014.wav,this was easy for us,F04,this was easy for us
